date,opening_p,daily_high,daily_low,closing_p,volume,turnover
1/2/2003,25.4,27.3,25.2,27.2,20226,528315
1/3/2003,27.3,28.2,27.3,27.5,6340,176384
1/6/2003,28,28,26.9,27.6,13818,379305
1/7/2003,27.7,28,27.3,27.5,13412,369456
1/8/2003,27.5,27.5,25.9,26.4,9529,255295
1/9/2003,26.5,26.6,25.5,26.55,9026,234924
1/10/2003,26.8,27.4,26.4,27.4,12404,335081
1/13/2003,27.3,28,27.1,27.4,10475,290290
1/14/2003,27.6,27.8,27.3,27.7,8658,238935
1/15/2003,28,28,27,27.1,11263,306470
1/16/2003,27.1,28.2,26.9,28,11406,316276
1/17/2003,27.9,27.9,27.35,27.5,13670,376838
1/20/2003,27.5,27.8,27.25,27.6,11989,330584
1/21/2003,27.45,28,27.05,27.1,24367,670781
1/22/2003,27,27.25,26.05,26.35,19125,506563
1/23/2003,26.7,26.7,25.5,25.8,12581,327694
1/24/2003,25.5,26,25.3,25.3,13586,349442
1/27/2003,25.4,25.5,24.45,25.1,23633,586042
1/28/2003,25.3,26,25.1,25.39,12481,320529
1/29/2003,25.3,26.7,24.9,26.7,15932,404672
1/30/2003,26.95,27.6,26.85,26.9,13273,361437
1/31/2003,26.7,28.3,26.5,28.3,16452,454694
2/3/2003,28.5,29.2,28.4,28.5,26382,758951
2/4/2003,28.25,28.25,26.7,26.7,14055,389874
2/5/2003,26.65,28.2,26.4,28,26639,725513
2/6/2003,27.8,27.9,26.82,27.2,20446,561678
2/7/2003,27.2,27.55,26.25,26.4,33800,912516
2/10/2003,26.7,26.7,26.05,26.55,16406,432768
2/11/2003,26.9,28,26.9,27.55,10924,301813
2/12/2003,27.3,27.3,25.95,26.45,22156,583088
2/13/2003,26,26,25.15,25.15,19626,498976
2/14/2003,25.5,26.35,25.4,26.2,17308,442223
2/17/2003,26.5,26.5,25.8,26.1,16212,421841
2/18/2003,26.05,26.81,26,26.7,14939,392823
2/19/2003,26.5,26.6,26.1,26.1,8642,227967
2/20/2003,26.3,26.9,26.05,26.3,20163,532796
2/21/2003,26.3,27.6,26.2,27.3,26384,711593
2/24/2003,27.5,27.5,27,27.4,14562,396038
2/25/2003,27,27.1,26.2,26.4,12384,328406
2/26/2003,26.7,26.7,25.8,25.9,14022,367423
2/27/2003,25.85,27,25.8,26.8,7828,204530
2/28/2003,26.8,27.6,26.7,27.2,8333,226166
3/3/2003,27.6,27.6,27,27,5480,150191
3/4/2003,27.1,27.1,26,26.55,10102,267778
3/5/2003,26.2,26.3,25.55,26.3,6084,157732
3/6/2003,26.3,26.3,25.1,25.3,10423,267653
