Open,Close,High,Low,Volume
280.91,276.23,283.52,274.05,17366588
279.08,274.63,279.17,268.84,20957180
278.21,296.51,297.48,275.65,70540056
300.04,296.27,302.5,294.34,21372131
296.37,295.3,297.43,291.73,13472484
295.69,292.07,296.85,286.71,17762135
291.63,292.02,296.08,286.95,15792502
292.89,286.47,294.24,284.39,12440505
286.8,286.18,288.83,282.17,15046698
288.83,285.5,290.43,284.97,12845169
286.9,279.56,286.9,278.25,18707345
281.35,289.7,290.76,280.24,18316053
295.5,291.73,295.5,286.61,15085595
293.18,292.31,295.01,289.51,14387971
303.32,283.86,304.29,282.07,38674148
284.73,283.81,286.18,279.9,16803823
282.07,280.77,284.0,278.88,13199803
280.86,277.82,283.28,275.41,14064427
278.74,275.45,281.01,274.1,16329314
278.35,277.1,279.61,276.37,9969794
280.14,271.2,281.15,270.48,13414248
271.93,272.07,274.2,270.48,15132928
274.25,273.47,274.34,270.0,11350496
274.44,277.53,278.64,272.41,12394230
280.14,272.02,280.43,271.06,11046649
272.22,268.79,272.8,267.39,11482652
269.9,265.41,270.48,264.25,13058026
264.49,261.35,267.0,259.85,17585259
262.65,256.37,262.85,255.99,15824629
255.51,247.92,256.86,246.52,22253318
251.01,254.64,255.94,247.29,19423101
256.09,258.79,260.19,254.2,12303870
259.76,257.97,262.12,256.95,19482636
257.58,264.15,265.31,254.2,12383589
266.08,265.31,266.37,261.98,12925445
265.94,262.8,266.95,261.11,12933524
262.65,264.59,267.92,262.61,9913899
265.65,271.3,272.22,263.23,13471276
271.44,276.03,277.58,270.53,16880558
278.01,276.56,278.69,273.71,11985436
277.63,280.14,284.44,276.23,17289500
280.38,282.46,284.24,276.76,15043998
281.1,281.83,284.87,279.37,16819018
281.1,277.87,283.37,275.16,13788536
277.63,279.37,282.07,272.17,15487948
280.67,274.2,283.28,266.03,17741741
275.31,268.21,277.63,266.86,13874710
268.88,266.18,270.09,265.02,10049508
267.15,257.97,267.15,257.05,12394191
257.92,263.23,264.2,256.13,12693457
262.99,262.65,264.1,260.38,8217676
260.92,260.58,264.15,257.63,21635216
264.68,267.73,268.55,262.41,8012690
267.58,262.8,267.58,262.12,7102772
262.22,256.37,264.3,254.3,16335660
255.02,252.08,258.16,250.82,15962706
255.02,253.04,258.89,251.45,14044596
254.44,266.66,267.77,253.67,17198308
265.94,258.31,266.03,257.29,12792368
260.72,264.97,265.65,258.93,9245732
264.68,271.4,272.31,263.67,13101418
272.41,277.68,278.54,272.41,18247889
280.04,279.9,280.14,275.69,13266119
279.37,278.64,281.44,276.47,14541041
279.66,282.65,284.78,279.41,11807544
284.0,280.38,284.73,278.64,12118415
283.04,272.85,294.63,271.2,69490117
270.67,268.21,274.63,266.76,20356833
269.51,267.73,271.25,266.61,9675703
267.58,271.2,272.02,264.88,12176680
273.7,271.55,273.7,270.08,13024987
272.57,272.08,275.51,271.06,14809918
272.57,272.13,275.85,271.5,11567692
272.72,260.44,273.36,259.56,21653784
261.18,251.79,261.47,249.49,25967877
254.23,251.98,255.7,248.22,20210546
251.39,252.18,256.29,250.03,13539638
253.11,249.39,253.11,247.04,17384700
249.44,251.98,252.67,248.46,15275972
253.35,254.92,256.82,252.86,10910978
256.53,248.46,257.21,247.14,20857622
248.51,248.41,249.93,246.31,11440479
249.44,244.79,250.03,243.42,13545280
244.79,249.05,250.17,243.57,9896598
250.42,249.54,251.3,247.97,11241061
250.86,252.47,255.01,249.63,11598549
254.23,254.48,257.36,252.52,12216399
255.21,260.2,261.57,255.11,11051382
263.52,261.91,265.28,260.44,16180083
261.86,256.63,262.06,254.82,8361760
255.55,259.02,260.2,253.4,16506503
258.34,259.42,261.08,255.36,14588452
253.11,253.99,255.11,249.44,15040805
253.6,257.02,257.61,251.98,14181965
257.36,261.91,263.62,256.82,12072024
262.06,262.01,265.33,260.3,8741783
261.52,263.52,264.11,260.98,7238541
257.46,264.89,265.58,256.29,9458200
264.5,266.95,268.66,264.11,12523410
264.01,261.52,265.09,259.81,12669850
261.18,261.91,265.38,261.18,6469504
264.36,264.65,265.09,260.44,8788162
266.07,267.73,268.37,262.06,8423083
267.63,262.35,267.63,261.32,10337307
262.89,262.2,265.77,261.32,7483918
263.87,266.26,266.8,262.25,8354120
266.46,265.19,268.02,264.6,5571891
266.07,261.62,266.07,260.35,6418930
